node1,node2,energy,entanglement,error
0,8,0.0,0.6931471805599453,0.0
1,8,0.0,0.6931471805599453,0.0
2,9,0.0,0.6931471805599453,0.0
3,9,0.0,0.6931471805599453,0.0
4,11,0.0,0.6931471805599454,0.0
5,12,0.0,0.6931471805599453,0.0
6,13,0.0,0.6931471805599453,0.0
7,13,0.0,0.6931471805599452,0.0
8,10,-0.8126837232408277,0.5621762786162618,1.1102230246251565e-16
9,10,-0.8126837232408275,0.7834333632465504,-1.3322676295501878e-15
10,11,-0.8126837232408278,0.5675527891143404,4.440892098500626e-16
12,13,-0.8126837232408286,0.6024658889971055,-2.220446049250313e-16
11,12,-0.8126837232408285,0.7400538382361102,9.992007221626409e-16
